Typ,Nr,Namn,Address1,Address2,Address3,Address4,Address5,Telefon,ButiksTyp,Tjanster,SokOrd,Oppettider,RT90x,RT90y
Butik,102,Fältöversten,Karlaplan 13,,115 20,STOCKHOLM,Stockholms län,08/662 22 89,,,STOCKHOLM;STHLM;ÖSTERMALM;KARLAPLANSRONDELLEN;FÄLTAN,2019-04-29;10:00;19:00;;;0;_*2019-04-30;10:00;19:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;19:00;;;0;_*2019-05-03;10:00;19:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;19:00;;;0;_*2019-05-07;10:00;19:00;;;0;_*2019-05-08;10:00;19:00;;;0;_*2019-05-09;10:00;19:00;;;0;_*2019-05-10;10:00;19:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;19:00;;;0;_*2019-05-14;10:00;19:00;;;0;,6582011,1630064
Butik,104,,Nybrogatan 47,,114 39,STOCKHOLM,Stockholms län,08/662 50 16,,,STOCKHOLM;STHLM;ÖSTERMALM,2019-04-29;10:00;19:00;;;0;_*2019-04-30;10:00;19:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;19:00;;;0;_*2019-05-03;10:00;19:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;19:00;;;0;_*2019-05-07;10:00;19:00;;;0;_*2019-05-08;10:00;19:00;;;0;_*2019-05-09;10:00;19:00;;;0;_*2019-05-10;10:00;19:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;19:00;;;0;_*2019-05-14;10:00;19:00;;;0;,6581802.64,1629394.446
Butik,106,Garnisonen,Karlavägen 100 A,,115 26,STOCKHOLM,Stockholms län,08/662 64 85,,,STOCKHOLM;STHLM;ÖSTERMALM,2019-04-29;10:00;19:00;;;0;_*2019-04-30;10:00;19:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;19:00;;;0;_*2019-05-03;10:00;19:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;19:00;;;0;_*2019-05-07;10:00;19:00;;;0;_*2019-05-08;10:00;19:00;;;0;_*2019-05-09;10:00;19:00;;;0;_*2019-05-10;10:00;19:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;19:00;;;0;_*2019-05-14;10:00;19:00;;;0;,6581720,1630377
Butik,110,,Hötorgshallen,,111 57,STOCKHOLM,Stockholms län,08/56849241,,,STOCKHOLM;STHLM;NORRMALM;KONSERTHUSET;HÖTORGET;HÖTORGSBUTIK,2019-04-29;10:00;18:00;;;0;_*2019-04-30;10:00;18:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;18:00;;;0;_*2019-05-03;10:00;19:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;18:00;;;0;_*2019-05-07;10:00;18:00;;;0;_*2019-05-08;10:00;18:00;;;0;_*2019-05-09;10:00;18:00;;;0;_*2019-05-10;10:00;19:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;18:00;;;0;_*2019-05-14;10:00;18:00;;;0;,6581443.113,1628483.985
Butik,113,Sergel,Drottninggatan 45,,111 21,STOCKHOLM,Stockholms län,08/21 47 44,,,STOCKHOLM;STHLM;NORRMALM,2019-04-29;10:00;20:00;;;0;_*2019-04-30;10:00;20:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;20:00;;;0;_*2019-05-03;10:00;20:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;20:00;;;0;_*2019-05-07;10:00;20:00;;;0;_*2019-05-08;10:00;20:00;;;0;_*2019-05-09;10:00;20:00;;;0;_*2019-05-10;10:00;20:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;20:00;;;0;_*2019-05-14;10:00;20:00;;;0;,6581251.441,1628460.233
Butik,114,PK-Huset,Norrlandsgatan 3,,111 47,STOCKHOLM,Stockholms län,08/796 98 10,,Dryckesprovning,STOCKHOLM;STHLM;NORRMALM;NK;PASSAGEN,2019-04-29;10:00;19:00;;;0;_*2019-04-30;10:00;19:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;19:00;;;0;_*2019-05-03;10:00;19:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;19:00;;;0;_*2019-05-07;10:00;19:00;;;0;_*2019-05-08;10:00;19:00;;;0;_*2019-05-09;10:00;19:00;;;0;_*2019-05-10;10:00;19:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;19:00;;;0;_*2019-05-14;10:00;19:00;;;0;,6581348.98,1628962.251
Butik,116,,Drottninggatan 22,,111 51,STOCKHOLM,Stockholms län,08/21 22 60,,Dryckesprovning,STOCKHOLM;STHLM;NORRMALM,2019-04-29;10:00;19:00;;;0;_*2019-04-30;10:00;19:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;19:00;;;0;_*2019-05-03;10:00;19:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;19:00;;;0;_*2019-05-07;10:00;19:00;;;0;_*2019-05-08;10:00;19:00;;;0;_*2019-05-09;10:00;19:00;;;0;_*2019-05-10;10:00;19:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;19:00;;;0;_*2019-05-14;10:00;19:00;;;0;,6581037,1628616
Butik,132,Marieberg,Rålambsvägen 7-9,,112 59,STOCKHOLM,Stockholms län,08/13 30 95,,,STOCKHOLM;STHLM;KUNGSHOLMEN,2019-04-29;10:00;19:00;;;0;_*2019-04-30;10:00;19:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;19:00;;;0;_*2019-05-03;10:00;19:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;19:00;;;0;_*2019-05-07;10:00;19:00;;;0;_*2019-05-08;10:00;19:00;;;0;_*2019-05-09;10:00;19:00;;;0;_*2019-05-10;10:00;19:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;19:00;;;0;_*2019-05-14;10:00;19:00;;;0;,6580676,1625947
Butik,133,,Kungsholmstorg 11 A,,112 21,STOCKHOLM,Stockholms län,08/653 39 17,,,STOCKHOLM;STHLM;KUNGSHOLMEN;RÅDHUSET;KUNGSHOLMSTORG,2019-04-29;10:00;19:00;;;0;_*2019-04-30;10:00;19:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;19:00;;;0;_*2019-05-03;10:00;19:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;19:00;;;0;_*2019-05-07;10:00;19:00;;;0;_*2019-05-08;10:00;19:00;;;0;_*2019-05-09;10:00;19:00;;;0;_*2019-05-10;10:00;19:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;19:00;;;0;_*2019-05-14;10:00;19:00;;;0;,6580745,1627343
Butik,134,,Lindhagensgatan 118,,112 51,STOCKHOLM,Stockholms län,08/656 14 30,,,STOCKHOLM;STHLM;STADSHAGEN;LINDHAGSPLAN;KUNGSHOLMEN,2019-04-29;10:00;19:00;;;0;_*2019-04-30;10:00;19:00;;;0;_*2019-05-01;00:00;00:00;;;Första maj;_*2019-05-02;10:00;19:00;;;0;_*2019-05-03;10:00;19:00;;;0;_*2019-05-04;10:00;15:00;;;0;_*2019-05-05;00:00;00:00;;;-;_*2019-05-06;10:00;19:00;;;0;_*2019-05-07;10:00;19:00;;;0;_*2019-05-08;10:00;19:00;;;0;_*2019-05-09;10:00;19:00;;;0;_*2019-05-10;10:00;19:00;;;0;_*2019-05-11;10:00;15:00;;;0;_*2019-05-12;00:00;00:00;;;-;_*2019-05-13;10:00;19:00;;;0;_*2019-05-14;10:00;19:00;;;0;,6581680,1625435
