,NR,address,geometry,Nr,Namn,Typ,Address4,Address5,total,lat,lon
0,0102,"Karlaplan, 114 60 Stockholm, Sweden",POINT (18.0890531 59.3371234),0102,Fältöversten,Butik,STOCKHOLM,Stockholms län,68,59.3371234,18.0890531
1,0104,"Nybrogatan, Stockholm, Sweden",POINT (18.0794388 59.3373696),0104,,Butik,STOCKHOLM,Stockholms län,81,59.3373696,18.0794388
2,0106,"Karlavägen 100A, 115 26 Stockholm, Sweden",POINT (18.0965039 59.3360466),0106,Garnisonen,Butik,STOCKHOLM,Stockholms län,77,59.3360466,18.0965039
3,0110,"Sergelgatan 29, 111 57 Stockholm, Sweden",POINT (18.0628982 59.3340599),0110,,Butik,STOCKHOLM,Stockholms län,41,59.3340599,18.0628982
4,0113,"Drottninggatan, Stockholm, Sweden",POINT (18.0604803 59.3347959),0113,Sergel,Butik,STOCKHOLM,Stockholms län,78,59.3347959,18.0604803
5,0114,"Norrlandsgatan, Stockholm, Sweden",POINT (18.0711835 59.33485880000001),0114,PK-Huset,Butik,STOCKHOLM,Stockholms län,81,59.33485880000001,18.0711835
6,0116,"Drottninggatan, Stockholm, Sweden",POINT (18.0604803 59.3347959),0116,,Butik,STOCKHOLM,Stockholms län,81,59.3347959,18.0604803
7,0132,"9,112, Rålambsvägen 7, 112 59 Stockholm, Sweden",POINT (18.0178136 59.3280796),0132,Marieberg,Butik,STOCKHOLM,Stockholms län,69,59.3280796,18.0178136
8,0133,"Kungsholmstorg 11A, 112 21 Stockholm, Sweden",POINT (18.0423384 59.32832249999999),0133,,Butik,STOCKHOLM,Stockholms län,68,59.32832249999999,18.0423384
9,0134,"Lindhagensgatan, Stockholm, Sweden",POINT (18.0119691 59.33572119999999),0134,,Butik,STOCKHOLM,Stockholms län,77,59.33572119999999,18.0119691
10,0135,"Ångermannagatan, Stockholm, Sweden",POINT (17.8815678 59.3626137),0135,,Butik,VÄLLINGBY,Stockholms län,81,59.3626137,17.8815678
11,0137,"Fleminggatan, Stockholm, Sweden",POINT (18.0379726 59.33375699999999),0137,,Butik,STOCKHOLM,Stockholms län,77,59.33375699999999,18.0379726
12,0138,"Odengatan, Stockholm, Sweden",POINT (18.0524155 59.34329760000001),0138,,Butik,STOCKHOLM,Stockholms län,41,59.34329760000001,18.0524155
